date,actual_max_temp,average_max_temp,record_max_temp
2014-7-1,91,89,104
2014-7-2,95,89,101
2014-7-3,93,89,99
2014-7-4,86,89,99
2014-7-5,84,89,100
2014-7-6,87,89,99
2014-7-7,91,89,100
2014-7-8,94,89,101
2014-7-9,89,89,101
2014-7-10,85,89,101
2014-7-11,87,89,100
2014-7-12,91,89,102
2014-7-13,92,89,100
2014-7-14,96,89,102
2014-7-15,94,89,100
2014-7-16,85,89,100
2014-7-17,84,89,100
2014-7-18,83,89,102
2014-7-19,74,89,103
2014-7-20,83,89,101
2014-7-21,77,89,103
2014-7-22,85,89,103
2014-7-23,90,89,101
2014-7-24,89,89,100
2014-7-25,86,89,101
2014-7-26,89,89,100
2014-7-27,90,89,103
2014-7-28,90,89,102
2014-7-29,83,89,103
2014-7-30,85,89,101
2014-7-31,78,89,100
2014-8-1,70,89,98
2014-8-2,72,89,98
2014-8-3,86,89,98
2014-8-4,87,89,98
2014-8-5,88,89,100
2014-8-6,88,88,102
2014-8-7,88,88,100
2014-8-8,81,88,102
2014-8-9,84,88,104
2014-8-10,73,88,104
2014-8-11,85,88,98
2014-8-12,89,88,100
2014-8-13,84,88,102
2014-8-14,83,88,98
2014-8-15,86,88,99
2014-8-16,86,88,102
2014-8-17,89,88,97
2014-8-18,90,88,101
2014-8-19,90,87,100
2014-8-20,91,87,103
2014-8-21,93,87,103
2014-8-22,95,87,101
2014-8-23,91,87,103
2014-8-24,81,87,97
2014-8-25,83,87,98
2014-8-26,84,87,100
2014-8-27,87,86,101
2014-8-28,92,86,98
2014-8-29,88,86,100
2014-8-30,90,86,101
2014-8-31,91,86,99
2014-9-1,93,85,99
2014-9-2,94,85,99
2014-9-3,93,85,98
2014-9-4,85,85,100
2014-9-5,89,84,101
2014-9-6,90,84,104
2014-9-7,88,84,100
2014-9-8,73,84,99
2014-9-9,77,83,101
2014-9-10,79,83,98
2014-9-11,89,83,96
2014-9-12,90,83,95
2014-9-13,86,82,94
2014-9-14,69,82,97
2014-9-15,86,81,96
2014-9-16,86,81,96
2014-9-17,74,81,96
2014-9-18,80,81,99
2014-9-19,79,80,97
2014-9-20,82,80,98
2014-9-21,85,80,97
2014-9-22,76,79,98
2014-9-23,65,79,97
2014-9-24,64,79,95
2014-9-25,70,78,94
2014-9-26,71,78,94
2014-9-27,78,78,93
2014-9-28,76,77,93
2014-9-29,70,77,93
2014-9-30,83,77,91
2014-10-1,84,76,92
2014-10-2,85,76,92
2014-10-3,79,76,91
2014-10-4,67,75,95
2014-10-5,65,75,97
2014-10-6,76,75,98
2014-10-7,80,74,91
2014-10-8,86,74,93
2014-10-9,80,74,92
2014-10-10,84,74,89
2014-10-11,87,73,90
2014-10-12,68,73,87
2014-10-13,72,73,91
2014-10-14,82,72,87
2014-10-15,73,72,88
2014-10-16,71,72,87
2014-10-17,74,71,85
2014-10-18,76,71,87
2014-10-19,69,71,87
2014-10-20,71,71,86
2014-10-21,75,70,88
2014-10-22,68,70,85
2014-10-23,70,70,88
2014-10-24,69,70,88
2014-10-25,74,69,84
2014-10-26,83,69,86
2014-10-27,80,69,86
2014-10-28,84,68,87
2014-10-29,79,68,82
2014-10-30,68,68,84
2014-10-31,61,68,85
2014-11-1,53,67,84
2014-11-2,57,67,85
2014-11-3,65,67,84
2014-11-4,67,66,83
2014-11-5,70,66,81
2014-11-6,71,66,82
2014-11-7,61,65,78
2014-11-8,58,65,78
2014-11-9,63,65,82
2014-11-10,69,64,83
2014-11-11,74,64,78
2014-11-12,77,64,81
2014-11-13,60,63,81
2014-11-14,46,63,80
2014-11-15,45,63,82
2014-11-16,53,62,82
2014-11-17,57,62,84
2014-11-18,39,62,78
2014-11-19,44,61,78
2014-11-20,59,61,79
2014-11-21,58,61,78
2014-11-22,55,60,76
2014-11-23,65,60,78
2014-11-24,74,59,75
2014-11-25,66,59,76
2014-11-26,52,59,75
2014-11-27,52,58,77
2014-11-28,47,58,77
2014-11-29,56,58,76
2014-11-30,68,57,76
2014-12-1,73,57,76
2014-12-2,55,57,76
2014-12-3,64,56,75
2014-12-4,63,56,76
2014-12-5,51,56,75
2014-12-6,52,55,78
2014-12-7,56,55,76
2014-12-8,43,55,76
2014-12-9,55,54,78
2014-12-10,53,54,80
2014-12-11,51,54,79
2014-12-12,60,54,79
2014-12-13,66,53,77
2014-12-14,63,53,73
2014-12-15,60,53,73
2014-12-16,58,53,75
2014-12-17,60,52,73
2014-12-18,56,52,75
2014-12-19,56,52,76
2014-12-20,48,52,79
2014-12-21,51,52,73
2014-12-22,46,51,72
2014-12-23,47,51,73
2014-12-24,60,51,71
2014-12-25,57,51,77
2014-12-26,59,51,76
2014-12-27,64,51,72
2014-12-28,60,51,77
2014-12-29,58,51,74
2014-12-30,45,50,76
2014-12-31,46,50,70
2015-1-1,53,50,74
2015-1-2,52,50,78
2015-1-3,52,50,74
2015-1-4,65,50,75
2015-1-5,54,50,72
2015-1-6,57,50,73
2015-1-7,41,50,77
2015-1-8,28,50,74
2015-1-9,45,50,72
2015-1-10,41,50,76
2015-1-11,46,50,78
2015-1-12,45,50,75
2015-1-13,47,50,75
2015-1-14,40,50,77
2015-1-15,42,50,77
2015-1-16,56,50,74
2015-1-17,57,51,75
2015-1-18,61,51,71
2015-1-19,64,51,69
2015-1-20,67,51,71
2015-1-21,64,51,73
2015-1-22,57,51,74
2015-1-23,45,51,75
2015-1-24,53,51,74
2015-1-25,57,51,76
2015-1-26,53,51,75
2015-1-27,48,52,75
2015-1-28,49,52,79
2015-1-29,50,52,79
2015-1-30,49,52,78
2015-1-31,51,52,77
2015-2-1,57,52,76
2015-2-2,57,52,80
2015-2-3,46,53,81
2015-2-4,53,53,76
2015-2-5,52,53,78
2015-2-6,45,53,79
2015-2-7,65,53,74
2015-2-8,70,54,74
2015-2-9,61,54,77
2015-2-10,53,54,76
2015-2-11,55,54,75
2015-2-12,57,54,73
2015-2-13,40,55,74
2015-2-14,56,55,77
2015-2-15,36,55,80
2015-2-16,33,55,76
2015-2-17,34,55,79
2015-2-18,42,56,78
2015-2-19,26,56,76
2015-2-20,31,56,77
2015-2-21,42,56,75
2015-2-22,57,57,74
2015-2-23,52,57,76
