date,actual_max_temp,average_max_temp,record_max_temp
2014-7-1,70,67,56
2014-7-2,74,68,56
2014-7-3,71,68,56
2014-7-4,64,68,55
2014-7-5,60,68,57
2014-7-6,61,68,57
2014-7-7,67,68,55
2014-7-8,72,68,58
2014-7-9,71,68,57
2014-7-10,71,68,53
2014-7-11,68,68,55
2014-7-12,67,68,59
2014-7-13,69,68,56
2014-7-14,74,68,59
2014-7-15,67,68,58
2014-7-16,66,68,58
2014-7-17,63,68,62
2014-7-18,70,68,62
2014-7-19,66,68,60
2014-7-20,65,68,60
2014-7-21,70,68,57
2014-7-22,72,68,58
2014-7-23,69,68,56
2014-7-24,71,68,59
2014-7-25,68,68,62
2014-7-26,66,68,60
2014-7-27,70,68,57
2014-7-28,68,68,54
2014-7-29,62,68,59
2014-7-30,63,68,58
2014-7-31,65,68,56
2014-8-1,65,68,58
2014-8-2,65,68,59
2014-8-3,67,68,60
2014-8-4,69,68,58
2014-8-5,65,68,55
2014-8-6,68,68,57
2014-8-7,67,68,50
2014-8-8,73,68,55
2014-8-9,68,68,56
2014-8-10,67,68,56
2014-8-11,71,68,58
2014-8-12,72,68,57
2014-8-13,65,68,57
2014-8-14,59,68,57
2014-8-15,60,68,55
2014-8-16,68,68,57
2014-8-17,67,67,55
2014-8-18,71,67,59
2014-8-19,70,67,59
2014-8-20,67,67,56
2014-8-21,67,67,56
2014-8-22,70,67,57
2014-8-23,73,67,53
2014-8-24,66,67,55
2014-8-25,60,66,56
2014-8-26,60,66,55
2014-8-27,57,66,55
2014-8-28,61,66,55
2014-8-29,69,66,54
2014-8-30,68,66,53
2014-8-31,74,65,53
2014-9-1,71,65,51
2014-9-2,69,65,53
2014-9-3,68,65,52
2014-9-4,69,64,54
2014-9-5,69,64,54
2014-9-6,70,64,53
2014-9-7,70,64,53
2014-9-8,67,63,54
2014-9-9,66,63,46
2014-9-10,65,63,47
2014-9-11,64,62,49
2014-9-12,72,62,45
2014-9-13,66,62,49
2014-9-14,62,61,47
2014-9-15,65,61,47
2014-9-16,65,61,47
2014-9-17,63,60,46
2014-9-18,62,60,48
2014-9-19,67,59,46
2014-9-20,59,59,45
2014-9-21,57,59,43
2014-9-22,61,58,43
2014-9-23,53,58,39
2014-9-24,53,57,43
2014-9-25,61,57,40
2014-9-26,62,57,42
2014-9-27,59,56,43
2014-9-28,60,56,41
2014-9-29,64,55,40
2014-9-30,59,55,38
2014-10-1,56,54,39
2014-10-2,59,54,36
2014-10-3,61,54,36
2014-10-4,43,53,33
2014-10-5,38,53,38
2014-10-6,47,52,38
2014-10-7,53,52,34
2014-10-8,58,52,34
2014-10-9,52,51,31
